,ROCE,ROE
ADANIPORTS.NS,11.2,14.7
APOLLOHOSP.NS,17.8,16.6
ASIANPAINT.NS,29.7,23.2
AXISBANK.NS,5.15,12.7
BAJAJ-AUTO.NS,23.4,19.0
BAJFINANCE.NS,10.3,17.5
BAJAJFINSV.NS,11.4,12.0
BHARTIARTL.NS,12.0,5.86
BPCL.NS,15.6,20.4
BRITANNIA.NS,41.5,49.7
CIPLA.NS,17.5,13.2
COALINDIA.NS,54.3,43.6
DIVISLAB.NS,35.1,28.2
DRREDDY.NS,14.0,11.4
EICHERMOT.NS,18.3,14.0
GRASIM.NS,12.2,10.8
HCLTECH.NS,25.4,22.0
HDFC.NS,8.6,13.4
HDFCBANK.NS,5.83,16.6
HDFCLIFE.NS,11.7,10.9
HEROMOTOCO.NS,18.6,14.4
HINDALCO.NS,16.2,18.5
HINDUNILVR.NS,24.4,18.4
ICICIBANK.NS,5.59,14.8
INDUSINDBK.NS,6.02,10.5
INFY.NS,37.1,29.0
ITC.NS,33.6,24.8
JSWSTEEL.NS,28.2,37.6
KOTAKBANK.NS,6.29,13.3
LT.NS,11.0,10.3
M&M.NS,11.3,14.2
MARUTI.NS,6.07,5.24
NESTLEIND.NS,147.0,113.0
NTPC.NS,9.23,12.6
ONGC.NS,16.8,19.5
POWERGRID.NS,11.5,19.2
RELIANCE.NS,9.42,8.16
SBIN.NS,4.44,12.2
SBILIFE.NS,15.3,13.7
SHREECEM.NS,16.6,14.1
SUNPHARMA.NS,18.4,14.0
TATAMOTORS.NS,1.4,-22.3
TATASTEEL.NS,31.6,42.6
TCS.NS,54.9,43.6
TATACONSUM.NS,9.61,6.51
TECHM.NS,26.6,21.5
TITAN.NS,21.4,26.4
ULTRACEMCO.NS,14.5,15.2
UPL.NS,15.6,16.7
WIPRO.NS,21.1,20.3
